It Came from Outer Space (1953),Arizona,6.5,,A spaceship from another world crashes in the Arizona desert and only an amateur stargazer and a schoolteacher suspect alien influence when the local townsfolk begin to act strangely.
Jessicka Rabid (2010),Arizona,3.2,,"Marley and Brad Hoffman are a couple of vile white trash degenerates who treat their mute mentally stunted cousin Jessicka like a pet: They make her wear a collar, force her to eat dog food, take her out for walks on a leash, and even occasionally lock her up in a dog cage. However, things go horribly awry when Jessicka contracts rabies after being bitten by a dog."
Kingdom of the Spiders (1977),Arizona,5.9,,"In rural Arizona, countless killer tarantulas are migrating through a farm town, killing every living thing in their path. The town's veterinarian will do everything in his power to survive the onslaught."
Krampus Unleashed (2016),Arizona,2.5,,"In pursuit of buried treasure, a group of fortune hunters unearth an ancient demonic summoning stone that holds a terrible curse and awakens a timeless evil, the Krampus. After centuries of slumber, Krampus has awoken with a thirst for blood."
Krampus: The Reckoning (2015),Arizona,2.5,,"Zoe, a strange child has a not so imaginary friend the Krampus who is the dark companion of St. Nicholas."
Machined Reborn (2009),Arizona,2.7,,"A couple moves onto a property in Arizona that used to be a torture ground owned by a serial killer, who rises for one more round of terror."
Mikey (1992),Arizona,5.6,,A seemingly sweet and innocent little boy causes murder and mayhem in his new neighborhood and falls for the teenage girl next door.
Natas: The Reflection (1986),Arizona,3.3,,A reporter searches for the truth behind an old Indian legend about a spirit that guards the entranceway to heaven and hell.
Netherbeast Incorporated (2007),Arizona,5.5,,"A quirky twist on the vampire tale, set in modern day corporate America."
Night of the Lepus (1972),Arizona,4.1,,Giant mutant rabbits terrorize the south-west.
Night Skies (2007),Arizona,4.5,,"March 13, 1997. Five friends bound for Las Vegas accidentally hit a stalled truck belonging to an ex-soldier. Stranded together on an isolated country road, they are about to witness one of the largest UFO sightings in history."
Nightkill (1980),Arizona,5.5,,"A woman's lover poisons her cruel husband, a rich businessman, in front of her. She becomes more terrified when she finds the lover dead as well. A police detective suddenly shows up at her door."
Olivia (1983),Arizona,5.2,,"A woman who, as a child, witnessed her prostitute mother getting killed by a client, marries an abusive man, and is suffering from homicidal schizophrenia."
Phase IV (1974),Arizona,6.4,,Desert ants suddenly form a collective intelligence and begin to wage war on the inhabitants. It is up to two scientists and a stray girl they rescue from the ants to destroy them.
Phoenix Forgotten (2017),Arizona,5.3,,"Two decades after three teenagers disappeared in the wake of mysterious lights appearing above Phoenix, Arizona, unseen footage from that night has been discovered, chronicling the final hours of their fateful expedition."
Piranha 3D (2010),Arizona,5.4,,"After a sudden underwater tremor sets free scores of the prehistoric man-eating fish, an unlikely group of strangers must band together to stop themselves from becoming fish food for the area's new razor-toothed residents."
Piranha 3DD (2012),Arizona,3.7,,"After the events at Lake Victoria, the prehistoric school of bloodthirsty piranhas make their way into a newly opened waterpark."
Poltergeist II: The Other Side (1986),Arizona,5.7,,"The Freeling family have a new house, but their troubles with supernatural forces don't seem to be over."
Rottentail (2018),Arizona,3.9,,"Peter Cotton, a scientist that works on rabbits and infertility, learns that the military wishes to use his work to create superhuman soldiers. Cotton is bitten by an experimental mutant rabbit and changes into the evil Rottentail."
Sasquatch Mountain (2006),Arizona,3.8,,"A lonely tow-truck driver gets caught in a deadly struggle between a pair of bank robbers with a beautiful hostage, local cops, and a monster that has come down from the Arizona mountains to eat human flesh."
Savage Water (1979),Arizona,2.9,,A group of holidaymakers have booked themselves a dream trip with the Wild West White Water River Boat Company. Their journey will take them along the great Colorado so they can experience first hand the beauty of the Grand Canyon.
Savageland (2015),Arizona,6,,"When a small town near the Arizona-Mexico border is wiped out overnight, suspicion falls on the lone survivor. But a roll of photos the survivor took that night tells a different story."
Spirit Hunter: La Llorona (2004),Arizona,1.9,,A modern day re-telling of the urban legend La Llorona. A beautiful woman who before committing suicide drowned her children because of her cheating husband. Now her curse is spreading and has possessed young mothers in a small suburban community. Now it is up to an investigator with psychic abilities to exorcise the spirit.
Sundown: The Vampire in Retreat (1989),Arizona,6.1,,Reclusive vampires lounge in a lonely American town. They wear sun cream to protect themselves. A descendant of Van Helsing arrives with hilarious consequences.
Tarantula (1955),Arizona,6.4,,A spider escapes from an isolated Arizona desert laboratory experimentation in gigantism and grows to tremendous size as it wreaks havoc on the local inhabitants.
The Darkness (2016),Arizona,4.5,,"A family unknowingly awakens an ancient supernatural entity on a Grand Canyon vacation, and must fight for survival when it follows them home."
The Forsaken (2001),Arizona,5.3,,A young man gets embroiled in a war against vampires.
The Ghost Dance (1982),Arizona,4.5,,The spirit of a long-dead warrior possesses the body of an Indian medicine man and turns him into a homicidal maniac.
The Lost (2006),Arizona,5.9,,"19-year-old Ray Pye murders two young women. Four years later, detective Charlie Schilling knows that Ray did it. He just needs to prove it. Meanwhile, Ray has met his match in a new girl in town, Katherine Wallace."
The Lost Treasure of the Grand Canyon (2008),Arizona,3.6,,"In the early days of the 20th century, an entire team disappeared while on an expedition deep into the Grand Canyon in search of a long-rumored hidden city."
The Passing (2011),Arizona,3.2,,"An ancient inheritance binds the Naibert sisters to their grandmother's estate until they start disappearing one by one, leaving clues in the manor's mirrors."
The Phoenix Incident (2015),Arizona,4.9,,"Blurring the line between fiction and reality, the fact-based, sci-fi thriller revolves around a military conspiracy and the controversial missing persons case surrounding the infamous Phoenix Lights."
The Seeding (2023),Arizona,5.1,,A man finds himself trapped in a desert canyon with a woman living off-grid who is captive to a pack of sadistic boys.
The Unhealer (2020),Arizona,5.5,,Spiritual healing gone wrong turns a relentlessly bullied teenager into a super-powered killing machine just as his tormentors do the unthinkable.
The Wraith (1986),Arizona,5.9,,"In a small town in Arizona, a mysterious man/spirit descends from the sky and manifests in a sports car and targets a local violent road-racing gang of motor he"
Two-Fisted Tales (1992),Arizona,5.8,,"Stories of an Old West gunfighter's last stand, a drag racer whose past comes back to haunt him, and WWI soldier's cowardice are introduced by the foul-mouthed, wheelchair-bound Mr. Rush. All segments were also in ""Tales from the Crypt."""
Undead or Alive: A Zombedy (2007),Arizona,5.1,,"Elmer Winslow is a soldier on the run from the Union Army, and Luke Budd is a cowboy with a broken heart. When the two misfits rob the corrupt sheriff of an old west town, they have no idea that a plague of zombies is sweeping the country, or that Geronimo's sexy niece may be their only hope of survival."
Unearthed: The Curse of Nephthys (2018),Arizona,4.7,,"Don Slayer is tested to the extreme when he's forced into battle with a powerful supernatural force, an ancient Goddess of Egypt."
V/H/S (2012),Arizona,5.8,Multiple Locations,"When a group of misfits are hired by an unknown third party to burglarize a desolate house and acquire a rare VHS tape, they discover more found footage than they bargained for."
Vampegeddon (2010),Arizona,2.6,,"Chased out of the old world, the dark vampire lord Giovanni flees to the American southwest where he sets up a new brood. Longshank, Brittan’s premier vampire slayer follows him here, and in a final confrontation in the Arizona desert both are killed. A hundred years later Melissa, a gorgeous, goth, lesbian college student, is obsessed with becoming a vampire and escaping her terrible home life. Along with her four friends, Ted, Liz, Mona, and Kent, she regularly conducts ceremonies where she tries to commune with dark forces. When she buys an old, evil book at a creepy garage sale she finally has the key she has been searching for. Following her dreams of Giovanni and a map in the book the five friends hike out to “Massacre Lane” and finally summon up some real vampires."
Water (2019),Arizona,2,,A young couple thinks they've found paradise in the luxury home they've just purchased in the Arizona desert but something lurks below the surface. This thriller-horror will leave you thirsting for more.
Werewolf (1995),Arizona,1.7,,Unscrupulous archaeologists try to take advantage of an outbreak of lycanthropy prompted by the discovery of a werewolf skeleton in the Arizona desert.
White of the Eye (1987),Arizona,6.1,,Somebody's killing rich married women in their homes - latest in a rich desert community outside Tucson. A married sound expert is prime suspect.
Zoombies (2016),Arizona,3.4,,"When a strange virus quickly spreads through a safari park and turns all the zoo animals undead, those left in the park must stop the creatures before they escape and zombify the whole city."
12 Hour Shift (2020),Arkansas,5.3,,Bodies start to pile up when a drug-user nurse and her cousin try to find a replacement kidney for an organ trafficker.
1st Summoning (2018),Arkansas,3.4,,"Student filmmakers uncover occult rituals tied to an abandoned warehouse, then gradually realize the horror is closer than they think."
Boggy Creek 2: The Legend Continues (1985),Arkansas,2.4,,A professor and three of his students camp out in the wilderness to find a Bigfoot-type creature.
Close Calls (2017),Arkansas,4.8,,"Morgan, a troubled, drug-addled teen, must deal with her crazy grandma and a psycho caller when her father leaves her home alone. As the calls keep coming in, a paranoid Morgan is forced to face some of her worst fears and inner demons when she believes everyone she knows is either plotting against her - or trying to kill her."
Encounter with the Unknown (1972),Arkansas,4.7,Multiple Locations,"Three eerie tales based on actual events are enacted in this film. First, three college students play a prank on a geeky classmate, who is accidentally shot and killed. His vengeful mother forecasts the deaths of the three young men she holds responsible, on 7, 14, and 21 days hence. And, one by one, her grim predictions come true. Next, a ghoulish sound emanates from a mist-shrouded hole in the Earth near where a Missouri boy has lost his dog. The boy's father is lowered into the hole and lets out an agonizing scream! Finally, a senator returning home from a party finds a lost girl on a bridge and learns from her father that she died years earlier!"
Ghosts of the Ozarks (2021),Arkansas,4.6,,"In post-Civil War Arkansas, a young doctor is mysteriously summoned to a remote town in the Ozarks only to discover that the utopian paradise is filled with secrets and surrounded by a menacing, supernatural presence."
House of Darkness (2022),Arkansas,4.7,,"Hap offers Mina a ride home with ulterior motives, but his night takes a turn when he learns she lives in a creepy American castle...and the shadowy figures in the corridors make it clear that he isn't welcome."
Hunter's Blood (1986),Arkansas,5.8,,"Five ""city boys"" travel to the country to relax by doing some hunting, drinking Bud, and generally having good time. However, the local inbred backwoods psychos turn the hunters into the hunted, and they need all the ammo and wits they have to get out of the woods alive."
It's Alive! (1969),Arkansas,2.7,,"A loony farmer finds a prehistoric monster hiding in a cavern on his land. To feed his newest critter, the farmer kidnaps three people. The three desperately try to escape and finally, one of them succeeds."
Madison County (2011),Arkansas,4.1,,"A group of college kids travel to a small, mountain town called Madison County to interview the author of a tell-all book on the accounts of several grisly murders that happened there. But when the kids get to Madison County, the author is no where to be found and the towns people act like they haven't seen him in years. They also say that the killer never existed and the murders never happened. However, when the kids start digging around to get their own answers, they find out that the stories may be more real than the townspeople are letting on!"
Ozark Sharks (2016),Arkansas,3.5,,A vacation to the Ozarks turns upside-down when bull sharks somehow infiltrate Arkansas' freshwater lakes and wreak havoc on a town's big fireworks festival.
Resurrection County (2008),Arkansas,4.7,,"When four campers' weekend trip turns deadly, in the remote town of Enoch, they find the locals are all too happy to serve up their own brand of an eye for an eye justice."
Return to Boggy Creek (1977),Arkansas,2.9,,"Two men travel deep into the woods to search for a Bigfoot-like creature called ""Big Bay-Ty"" which has recently been sighted near Boggy Creek. Three children secretly follow. Meanwhile, a hurricane is brewing."
Sharkansas Women's Prison Massacre (2015),Arkansas,3.1,,"When a fracking environmental accident rips apart the earth's crust, the resulting hole lets out prehistoric sharks from underground that target a group of women and trap them in a cabin."
The Bleeding Game (2018),Arkansas,3,,"When an ambitious sorcerer summons three eldritch spirits from the darkness between the stars and they mistakenly transform into vampires straight from the 1980's, it's up to three fast-talking slayer sisters to put a stake in the lost boys and silence the sorcerer before the town gets bled dry."
The Legacy of Boggy Creek (2011),Arkansas,2.7,,An independent documentary about the various Skunkape encounters in the Midwest since the 1970s.
The Legend of Boggy Creek (1972),Arkansas,5.2,,"A documentary-style drama about the ""Fouke Monster"", a Bigfoot-type creature that has been sighted in and around Fouke, Arkansas since the 1950s."
The Shadow of Chikara (1977),Arkansas,5.5,,Two former Confederate captains set out to recover diamonds hidden in the mountains of Arkansas but a native spirit named Chikara is said to protect the sacred mountains against intruders.
The Stand (2020),Arkansas,5.7,Multiple Locations,"After the world is in ruins, due to a man-made plague, a battle of Biblical proportions ensues between the survivors."
The Town That Dreaded Sundown (1976),Arkansas,6,Multiple Locations,A hooded serial killer terrorizes the residents of a small Arkansas town in 1946.
The Town That Dreaded Sundown (2014),Arkansas,5.6,Multiple Locations,"65 years after a masked serial killer terrorized the small town of Texarkana, the so-called ""moonlight murders"" begin again. Is it a copycat or something even more sinister? A lonely high school girl may be the key to catching him."
They See You (2022),Arkansas,3.8,,Three Outcast Brothers steal a mysterious board on Halloween and unknowingly unleash a horde of ghouls from another dimension onto their hometown.
Werewolf Rising (2014),Arkansas,2.4,,"Emma is a country girl who left for the big city only to return years later with big problems. And when she returns to her childhood home deep in the Arkansas mountains for some well needed rest, relaxation, and soul searching, her problems have only just begun. A bloodthirsty werewolf emerges from the woods to lay siege to the area, ravaging anything in its path and revealing a sinister underworld that most never knew existed. With a full moon hanging over the area, Emma is plunged into a fight not only for her life, but for her very soul..."
#FollowMe (2019),California,3.6,,"Three British women from London, consisting of a YouTuber and her two friends, go missing from a motel in California while travelling from Los Angeles to San Francisco after posting on social media using the the hashtag #followme."
10 to Midnight (1983),California,6.3,,An LAPD detective and his rookie partner are on the trail of a psychopathic young man who is murdering young women.
12 Feet Deep (2017),California,5.4,,Two sisters are trapped under the fiberglass cover of an Olympic sized public pool and must brave the cold and each other to survive the harrowing night.
12/12/12 (2012),California,2,,"When baby Sebastian is born on 12/12/12 everyone around him starts to die. Pretty soon, his mother realizes that her son is the spawn of Hell."
13 Cameras (2015),California,5.2,,"A newlywed couple, move into a new house across the country, only to find out that their marital issues are the least of their problems. Unbeknownst to them, their grim and lascivious landlord has been spying on them from day one."
13 Ghosts (1960),California,6,,"A family inherits what proves to be a haunted house, but a special pair of goggles allows them to see their ghostly tormentors."
15 Cameras (2023),California,5.3,,"When Cam and Sky bought their two-family home, it seemed like the perfect investment opportunity for the young couple: a house to start with, a mortgage offset by renters, and even a guest room."
1BR (2019),California,5.8,,"Sarah tries to start anew in LA, but her neighbours are not what they seem."
2:13 (2009),California,4.8,,"A police profiler has just returned from psychiatric leave only to find that he is caught up in a serial killer's rampage. Now, he must face his own demons along with the killer to save his small eroding existence."
30 Days of Night: Dark Days (2010),California,4.3,,"After surviving the incidents in Barrow, Alaska, Stella Oleson relocates to Los Angeles, where she intentionally attracts the attention of the local vampire population in order to avenge the death of her husband, Eben."
4/20 Massacre (2018),California,3.8,,"Five women go camping in the woods to celebrate a friend's birthday over 4/20 weekend, but when they cross the turf of an illegal marijuana grow-operation, they must fight to survive the living nightmare."
666: The Child (2006),California,2.9,,"After a plane crash were a boy is the only survivor, a childless couple adopts him and soon discovers he is something very powerful, something very dark. This small boy is the Beast and with him he carries the Beginning of the End."
7 Deadly Sins (2018),California,2.6,,"Before heading off to college, a group of high school seniors throw themselves the best Spring Break party ever. But when party goers begin to die, the teenagers must figure out how to survive the evil demon they summoned."
8 Found Dead (2022),California,4.5,,"Two couples take a weekend getaway in the middle of the desert, only to discover that their Airbnb is already occupied. It's a long and bloody night told from four points-of-view."
90210 Shark Attack (2014),California,1.6,,Students encounter a haunted shark tooth.
976-EVIL (1988),California,5.1,,"People who dial 976-EVIL receive supernatural powers and turn into satanic killers. When Spike dialed 976-EVIL, he knew it was an expensive toll call, but he didn't know that he'd have to pay for it with his soul."
976-EVIL II (1992),California,4.3,,A seemingly harmless telephone service endows an evil teacher with powers from beyond the grave.
A Bucket of Blood (1959),California,6.8,,A dim-witted busboy finds acclaim as an artist for a plaster-covered dead cat that is mistaken as a skillful statuette. The desire for more praise soon leads to an increasingly deadly series of works.
A Bucket of Blood (1995),California,4.9,,"Walter Paisley, a busboy at a cappuccino bar called the Jabberjaw, is praised as a genius after he kills his landlady's cat and covers it in plaster. Pressured to produce more work, he goes after bigger subjects."
A Child's Voice (2018),California,5.4,,A homeless teen answers the voice of a child calling out for help and is sent on a journey to find a human trafficking network run by the child's killer.
A Closer Walk with Thee (2017),California,3.8,,A homoerotic Evangelical exorcism film.
A Crack in the Floor (2001),California,3.2,,"When his self-imposed exile from society is interrupted by a group of friends on a hiking trip, a murderous hermit terrorizes the visitors."
A Dark Foe (2020),California,4.1,,"A guilt-ridden FBI agent, stranded in the painful memory of the abduction of his sister, suffers from a rare condition known as Nyctophobia, an irrational fear of the dark, and will have to face-off with the cunning serial killer who took her away."
A Haunted House (2013),California,5,,"Malcolm and Kisha move into their dream home, then learn that a demon also resides there. When Kisha becomes possessed, Malcolm--determined to keep his sex life on track--turns to a priest, a psychic, and a ghostbusting team for help."
A Place Among the Dead (2020),California,4.3,,"A Place Among The Dead is a genre-bending, elevated-horror film, which explores the repercussions of growing up under the sway of narcissism and psychological abuse."
A Scream in the Streets (1973),California,4.5,,Two Los Angeles detectives are assigned to track down and arrest a brutal rapist-murderer terrorizing the city. Their job is complicated by the fact that the killer is able to avoid capture because he can pose as a woman.
A Strange Calm (2020),California,6.5,,"When 12-year-old Rosie and Miles encounter a strange man on the 4th of July in 1974, their journey to the watch the fireworks on the outskirts of town becomes an unexpected fight for survival."
A Taste of Evil (1971),California,6.3,,"On her way home to California from a stay at a Swiss mental institution after a traumatic rape seven years earlier, twenty-year-old Susan Wilcox realizes that someone is deliberately trying to drive her insane. "
