"","title","state","rating","multiple_locations","description","year","word_count","year_bin","ai_info","gpt_41_primary_sub_genre","gpt_41_secondary_sub_genre","gpt_41_tertiary_sub_genre","gpt_41_protagonist_type","gpt_41_antagonist_type","gpt_41_protagonist_gender","gpt_41_antagonist_gender","gpt_41_protagonist_age","gpt_41_antagonist_age","gpt_41_setting_time","gpt_41_setting_location"
"16","Fiend","Maryland",4.4,FALSE,"An evil spirit Possesses the corpse of a diseased man. It must absorb the life energy of the living, in order for the corpse to not rot away. It moves to the suburbs, where, a neighbor begins to suspect something isn't right.",1980,42,"x80_90","The movie is ""Fiend"" filmed in 1980. This is the IMDb summary: An evil spirit Possesses the corpse of a diseased man. It must absorb the life energy of the living, in order for the corpse to not rot away. It moves to the suburbs, where, a neighbor begins to suspect something isn't right.","possession","madness","small creatures","human","possessed human","male","male","30-50","30-50","present","small town"
"17","From Within","Maryland",5.6,FALSE,"A small Maryland town is gripped by a curse which causes residents to take their own life one after another.",2008,20,"x00_10","The movie is ""From Within"" filmed in 2008. This is the IMDb summary: A small Maryland town is gripped by a curse which causes residents to take their own life one after another.","devils, demons, and hell","phobia","folk horror","human","non-human entity","female","androgynous","18-30","unknown","present","small town"
"18","Grave Encounters","Maryland",6.1,FALSE,"For their ghost hunting reality show, a production crew locks themselves inside an abandoned mental hospital that's supposedly haunted - and it might prove to be all too true.",2011,28,"x10_20","The movie is ""Grave Encounters"" filmed in 2011. This is the IMDb summary: For their ghost hunting reality show, a production crew locks themselves inside an abandoned mental hospital that's supposedly haunted - and it might prove to be all too true.","found footage","haunted house","ghost and spirits","human","non-human entity","male","androgynous","18-30","unknown","present","house"
"19","Hunting Humans","Maryland",4.3,FALSE,"Meet Aric Blue. He's young. He's handsome. He's successful. He's also a serial killer. He picks his victims at random, stalking them and taking advantage of the patterns in their life to kill them. He's the ultimate serial killer. But when he finds his next victim already dead, a note on the body reading: ""I'VE GOT YOUR PATTERN"", Aric realizes he's being stalked by a serial killer every bit his equal. When two serial killers wage war, the rules are simple: Don't Get In The Way.",2002,86,"x00_10","The movie is ""Hunting Humans"" filmed in 2002. This is the IMDb summary: Meet Aric Blue. He's young. He's handsome. He's successful. He's also a serial killer. He picks his victims at random, stalking them and taking advantage of the patterns in their life to kill them. He's the ultimate serial killer. But when he finds his next victim already dead, a note on the body reading: ""I'VE GOT YOUR PATTERN"", Aric realizes he's being stalked by a serial killer every bit his equal. When two serial killers wage war, the rules are simple: Don't Get In The Way.","slasher","madness","phobia","human","human","male","male","18-30","18-30","present","small town"
"20","Last Night at Terrace Lanes","Maryland",4.3,FALSE,"When a bloodthirsty cult invades a bowling alley on its final night of operation, a high schooler on a date from hell, must join forces with her survivalist dad to fend off the crazed murderers.",2024,35,"over_20","The movie is ""Last Night at Terrace Lanes"" filmed in 2024. This is the IMDb summary: When a bloodthirsty cult invades a bowling alley on its final night of operation, a high schooler on a date from hell, must join forces with her survivalist dad to fend off the crazed murderers.","slasher","devils, demons, and hell","phobia","human","human","female","unknown","under 18","18-30","present","small town"
"21","Lovely Molly","Maryland",5.3,FALSE,"Newlywed Molly moves into her deceased father's house in the countryside, where painful memories soon begin to haunt her.",2011,19,"x10_20","The movie is ""Lovely Molly"" filmed in 2011. This is the IMDb summary: Newlywed Molly moves into her deceased father's house in the countryside, where painful memories soon begin to haunt her.","haunted house","madness","phobia","human","non-human entity","female","androgynous","18-30","unknown","present","rural"
"22","Mansquito","Maryland",3.4,FALSE,"A scientist and her subject turn into mutant insects.",2005,9,"x00_10","The movie is ""Mansquito"" filmed in 2005. This is the IMDb summary: A scientist and her subject turn into mutant insects.","body horror","neo-monsters","sci-fi and aliens","human","non-human entity","female","androgynous","30-50","30-50","present","big city"
"23","Maxim Xul (1991) ","Maryland",3.7,FALSE,"Police investigation of a series of mutilation deaths reveals that they were committed by an ancient demon. They enlist the help of a professor who is an expert in the field to fight the demon.",1991,35,"x90_00","The movie is ""Maxim Xul (1991) "" filmed in 1991. This is the IMDb summary: Police investigation of a series of mutilation deaths reveals that they were committed by an ancient demon. They enlist the help of a professor who is an expert in the field to fight the demon.","devils, demons, and hell","madness","classic and mythological","human","non-human entity","male","androgynous","30-50","unknown","present","big city"
"24","Mortal Remains","Maryland",5.6,FALSE,"A docu-thriller focusing on the life, brief career, and mysterious death of Maryland filmmaker Karl Atticus, referred to by some as the ""godfather of the slasher film."" Features interviews with various historians and aficionados including Eduardo Sanchez, director of ""The Blair Witch Project,"" who in a 2008 interview posited the question: Why, for nearly four decades, has Atticus's story been practically eradicated from the annals of cinematic history?",2013,69,"x10_20","The movie is ""Mortal Remains"" filmed in 2013. This is the IMDb summary: A docu-thriller focusing on the life, brief career, and mysterious death of Maryland filmmaker Karl Atticus, referred to by some as the ""godfather of the slasher film."" Features interviews with various historians and aficionados including Eduardo Sanchez, director of ""The Blair Witch Project,"" who in a 2008 interview posited the question: Why, for nearly four decades, has Atticus's story been practically eradicated from the annals of cinematic history?","found footage","slasher","madness","human","human","unknown","male","unknown","30-50","present","unknown"
"25","Multiple Maniacs","Maryland",6.5,FALSE,"Watch as the life of a leader of a menacing group of deviants explodes in a spectacle of debauchery. Accidentally filmed from beginning to end, on purpose.",1970,27,"x70_80","The movie is ""Multiple Maniacs"" filmed in 1970. This is the IMDb summary: Watch as the life of a leader of a menacing group of deviants explodes in a spectacle of debauchery. Accidentally filmed from beginning to end, on purpose.","extreme","horror comedy","madness","human","human","female","female","30-50","30-50","present","big city"
"26","Night of Horror","Maryland",1.4,FALSE,"Four friends are stranded on what was once an old civil war battle ground and are haunted by the souls of those who died there.",1981,25,"x80_90","The movie is ""Night of Horror"" filmed in 1981. This is the IMDb summary: Four friends are stranded on what was once an old civil war battle ground and are haunted by the souls of those who died there.","ghost and spirits","classic and mythological","phobia","human","non-human entity","unknown","androgynous","18-30","unknown","present","rural"
"27","Night of the Axe","Maryland",4.2,FALSE,"A group of young adults, trying to enjoy a high school reunion party, are terrorized by an escaped mental patient obsessed with satisfying his blood lust. One by one they are made victims of the sadistic killer.",2022,37,"over_20","The movie is ""Night of the Axe"" filmed in 2022. This is the IMDb summary: A group of young adults, trying to enjoy a high school reunion party, are terrorized by an escaped mental patient obsessed with satisfying his blood lust. One by one they are made victims of the sadistic killer.","slasher","madness","phobia","human","human","female","male","18-30","30-50","present","small town"
"28","Nightbeast","Maryland",4.2,FALSE,"A creature from outer space crash lands in a small town and starts killing people.",1982,15,"x80_90","The movie is ""Nightbeast"" filmed in 1982. This is the IMDb summary: A creature from outer space crash lands in a small town and starts killing people.","sci-fi and aliens","slasher","neo-monsters","human","non-human entity","male","androgynous","30-50","unknown","present","small town"
"29","President's Day","Maryland",4.3,FALSE,"A high school election turns deadly when a homicidal maniac dressed like Abe Lincoln starts killing off candidates.",2010,18,"x10_20","The movie is ""President's Day"" filmed in 2010. This is the IMDb summary: A high school election turns deadly when a homicidal maniac dressed like Abe Lincoln starts killing off candidates.","slasher","madness","phobia","human","human","unknown","male","under 18","30-50","present","small town"
"30","Red Dragon","Maryland",7.2,TRUE,"A retired FBI agent with psychological gifts is assigned to help track down ""The Tooth Fairy"", a mysterious serial killer. Aiding him is imprisoned forensic psychiatrist Dr. Hannibal ""The Cannibal"" Lecter.",2002,31,"x00_10","The movie is ""Red Dragon"" filmed in 2002. This is the IMDb summary: A retired FBI agent with psychological gifts is assigned to help track down ""The Tooth Fairy"", a mysterious serial killer. Aiding him is imprisoned forensic psychiatrist Dr. Hannibal ""The Cannibal"" Lecter.","slasher","madness","cannibal","human","human","male","male","30-50","30-50","present","small town"
"31","Redneck Zombies","Maryland",4.2,FALSE,"A barrel of radioactive waste is lost out in the woods. Some demented rednecks find it and use it as part of their still. Everybody who drinks the liquor they produced turns into zombies.",1989,34,"x80_90","The movie is ""Redneck Zombies"" filmed in 1989. This is the IMDb summary: A barrel of radioactive waste is lost out in the woods. Some demented rednecks find it and use it as part of their still. Everybody who drinks the liquor they produced turns into zombies.","zombies","backwoods horror","splatter","human","non-human entity","male","androgynous","18-30","unknown","present","forest"
"32","Respire","Maryland",4.4,FALSE,"The Ancient Romans believed that the soul escaped one’s body with the last breath. It was believed that last breath held the power to cure disease and prolong life. In 1930’s, Dr. Robert Kaminsky devoted his life to finding out how to harness the power in the last breath. Susan Jordan owns a local novelty shop. One item in her shop, an antique box once owned by Doctor Kaminsky, draws the interest of two men: Raif Collins who hopes it’s contents can save his dying sister, and Alex Poe whose motives are more mysterious. Susan quickly finds herself in a perilous struggle to protect the box and the secrets that it holds.",2010,113,"x10_20","The movie is ""Respire"" filmed in 2010. This is the IMDb summary: The Ancient Romans believed that the soul escaped one’s body with the last breath. It was believed that last breath held the power to cure disease and prolong life. In 1930’s, Dr. Robert Kaminsky devoted his life to finding out how to harness the power in the last breath. Susan Jordan owns a local novelty shop. One item in her shop, an antique box once owned by Doctor Kaminsky, draws the interest of two men: Raif Collins who hopes it’s contents can save his dying sister, and Alex Poe whose motives are more mysterious. Susan quickly finds herself in a perilous struggle to protect the box and the secrets that it holds.","classic and mythological","madness","phobia","human","human","female","male","30-50","30-50","past","small town"
"33","Return of the Boogeyman","Maryland",1.4,FALSE,"Poor Annie every time she falls asleep, her dreams are haunted by visions of a faceless man committing unspeakable crimes. Just like a kid afraid of the dark, the Boogeyman has made her afraid to close her eyes. Annie soon realizes her hideous dreams are predictions. If she can harness this terrifying power, perhaps she can prevent the bloody slaughter she forsees, and track down the Boogeyman before his body count climbs any higher. Their actions are very brave, but are Annie and her friends the hunters… or the hunted?",1994,90,"x90_00","The movie is ""Return of the Boogeyman"" filmed in 1994. This is the IMDb summary: Poor Annie every time she falls asleep, her dreams are haunted by visions of a faceless man committing unspeakable crimes. Just like a kid afraid of the dark, the Boogeyman has made her afraid to close her eyes. Annie soon realizes her hideous dreams are predictions. If she can harness this terrifying power, perhaps she can prevent the bloody slaughter she forsees, and track down the Boogeyman before his body count climbs any higher. Their actions are very brave, but are Annie and her friends the hunters… or the hunted?","slasher","madness","supernatural power","human with extra powers","human with extra powers","female","androgynous","18-30","30-50","present","small town"
"34","Snakehead Terror","Maryland",3.8,FALSE,"A small town, desperate to recover from hard economic times, is under threat when voracious Snakehead fish mutate and survive previous lake chemical poisonings.",2004,24,"x00_10","The movie is ""Snakehead Terror"" filmed in 2004. This is the IMDb summary: A small town, desperate to recover from hard economic times, is under threat when voracious Snakehead fish mutate and survive previous lake chemical poisonings.","nature","giant creatures","small creatures","human","non-human entity","male","androgynous","30-50","unknown","present","small town"
"35","Sociopathia","Maryland",3.5,FALSE,"Walking the fine line between sanity and insanity, a reclusive prop maker for low-budget movies meets an alluring novice producer, as her already frail grip on reality prepares the ground for a ceaseless descent into pure madness.",2015,38,"x10_20","The movie is ""Sociopathia"" filmed in 2015. This is the IMDb summary: Walking the fine line between sanity and insanity, a reclusive prop maker for low-budget movies meets an alluring novice producer, as her already frail grip on reality prepares the ground for a ceaseless descent into pure madness.","madness","phobia","slasher","human","human","female","female","30-50","30-50","present","big city"
"36","Species II","Maryland",4.5,FALSE,"An astronaut gets infected with alien DNA during the first mission on Mars and runs amok on earth. Preston and Laura team up with a peaceful, genetically re-engineered Sil to track the monster down.",1998,35,"x90_00","The movie is ""Species II"" filmed in 1998. This is the IMDb summary: An astronaut gets infected with alien DNA during the first mission on Mars and runs amok on earth. Preston and Laura team up with a peaceful, genetically re-engineered Sil to track the monster down.","sci-fi and aliens","neo-monsters","body horror","human","non-human entity","male","androgynous","30-50","unknown","present","big city"
"37","Swarm of the Snakehead","Maryland",3.4,FALSE,"A dysfunctional family vacations on Maryland shore during a deadly attack of intelligent snakehead fish.",2006,15,"x00_10","The movie is ""Swarm of the Snakehead"" filmed in 2006. This is the IMDb summary: A dysfunctional family vacations on Maryland shore during a deadly attack of intelligent snakehead fish.","nature","horror comedy","neo-monsters","human","non-human entity","unknown","androgynous","unknown","unknown","present","rural"
"38","Terrortory","Maryland",4,FALSE,"In the vein of Creepshow and Tales From The Crypt comes this anthology horror featuring six tales set in the nightmare land called the TERRORTORY!",2016,25,"x10_20","The movie is ""Terrortory"" filmed in 2016. This is the IMDb summary: In the vein of Creepshow and Tales From The Crypt comes this anthology horror featuring six tales set in the nightmare land called the TERRORTORY!","folk horror","Lovecraftian/Cosmic horror","slasher","human","non-human entity","unknown","androgynous","unknown","unknown","present","rural"
"39","Terrortory 2","Maryland",4.2,FALSE,"The sequel to the hit anthology film: Four chilling stories tied together by one man traveling through the terrifying land known as The Terrortory. Featuring monsters from the first film--The Midnight Clown and Smiling Jack--as well as all-new creatures.",2018,42,"x10_20","The movie is ""Terrortory 2"" filmed in 2018. This is the IMDb summary: The sequel to the hit anthology film: Four chilling stories tied together by one man traveling through the terrifying land known as The Terrortory. Featuring monsters from the first film--The Midnight Clown and Smiling Jack--as well as all-new creatures.","neo-monsters","folk horror","horror comedy","human","non-human entity","male","androgynous","30-50","unknown","present","rural"
"40","The Alien Factor","Maryland",3.9,FALSE,"A science ship with three dangerous specimens collected from around the universe crash lands on Earth. A mysterious stranger named ""Ben Zachary"" shows up claiming to be able to save the day. Can he do what he claims?",1978,38,"x70_80","The movie is ""The Alien Factor"" filmed in 1978. This is the IMDb summary: A science ship with three dangerous specimens collected from around the universe crash lands on Earth. A mysterious stranger named ""Ben Zachary"" shows up claiming to be able to save the day. Can he do what he claims?","neo-monsters","sci-fi and aliens","small creatures","human","non-human entity","male","androgynous","30-50","unknown","present","small town"
"41","The Bay","Maryland",5.6,FALSE,"Chaos breaks out in a small Maryland town after an ecological disaster occurs.",2012,13,"x10_20","The movie is ""The Bay"" filmed in 2012. This is the IMDb summary: Chaos breaks out in a small Maryland town after an ecological disaster occurs.","virus","body horror","post-apocalyptic","human","non-human entity","female","androgynous","18-30","unknown","present","small town"
"42","The Blair Witch Project","Maryland",6.5,FALSE,"Three film students vanish after traveling into a Maryland forest to film a documentary on the local Blair Witch legend, leaving only their footage behind.",1999,25,"x90_00","The movie is ""The Blair Witch Project"" filmed in 1999. This is the IMDb summary: Three film students vanish after traveling into a Maryland forest to film a documentary on the local Blair Witch legend, leaving only their footage behind.","found footage","folk horror","phobia","human","non-human entity","female","androgynous","18-30","unknown","present","forest"
"43","The Boogey Man","Maryland",4.6,FALSE,"Through the reflection in the mirror, a girl witnesses her mother's boyfriend's murder.",1980,13,"x80_90","The movie is ""The Boogey Man"" filmed in 1980. This is the IMDb summary: Through the reflection in the mirror, a girl witnesses her mother's boyfriend's murder.","ghost and spirits","phobia","haunted house","human","non-human entity","female","androgynous","under 18","unknown","present","house"
"44","The Curse of the Screaming Dead 1982)","Maryland",2.4,FALSE,"A group of Southern deer hunters stop at a church graveyard in the woods. Their activities arouse the corpses of long-dead Confederate soldiers, who attack them.",1982,27,"x80_90","The movie is ""The Curse of the Screaming Dead 1982)"" filmed in 1982. This is the IMDb summary: A group of Southern deer hunters stop at a church graveyard in the woods. Their activities arouse the corpses of long-dead Confederate soldiers, who attack them.","zombies","backwoods horror","classic and mythological","human","non-human entity","male","androgynous","18-30","unknown","present","forest"
"45","The Dead Ones","Maryland",3.4,FALSE,"While serving detention for a horrific incident, four students are locked in a school and hunted by a gang dressed as the Four Horsemen of the Apocalypse. While fighting to survive, each student must confront past traumas.",2019,37,"x10_20","The movie is ""The Dead Ones"" filmed in 2019. This is the IMDb summary: While serving detention for a horrific incident, four students are locked in a school and hunted by a gang dressed as the Four Horsemen of the Apocalypse. While fighting to survive, each student must confront past traumas.","slasher","madness","phobia","human","human","unknown","androgynous","under 18","unknown","present","house"
"46","The Galaxy Invader","Maryland",2.9,FALSE,"An alien is hunted by a gang of drunken hillbillies who saw him crash-land his spaceship.",1985,17,"x80_90","The movie is ""The Galaxy Invader"" filmed in 1985. This is the IMDb summary: An alien is hunted by a gang of drunken hillbillies who saw him crash-land his spaceship.","sci-fi and aliens","backwoods horror","nature","non-human entity","human","unknown","male","unknown","30-50","present","rural"
"47","The Good Sisters","Maryland",5.6,FALSE,"Breanne Good (Debbie Rochon) and her younger sister Kindra Good (April Monique Burrill) have lived together in a modest Maryland suburban house for several years to hide a secret life. They are both practitioners of witchcraft which they keep a secret from their neighbors. When a mysterious man named Daniel (David Calhoun) moves into their house next door, Breanna and Kindra become suspicious of their new neighbor who also leads a secret life. Unsure if he is unnaturally obsessed with knowing about them, or if he has an agenda, the Good sisters will have to draw up all their powers to confront this man.",2009,104,"x00_10","The movie is ""The Good Sisters"" filmed in 2009. This is the IMDb summary: Breanne Good (Debbie Rochon) and her younger sister Kindra Good (April Monique Burrill) have lived together in a modest Maryland suburban house for several years to hide a secret life. They are both practitioners of witchcraft which they keep a secret from their neighbors. When a mysterious man named Daniel (David Calhoun) moves into their house next door, Breanna and Kindra become suspicious of their new neighbor who also leads a secret life. Unsure if he is unnaturally obsessed with knowing about them, or if he has an agenda, the Good sisters will have to draw up all their powers to confront this man.","witches","madness","phobia","human","human","female","male","18-30","30-50","present","small town"
"48","The Grayhaven Maniac","Maryland",4.4,FALSE,"What begins as a night filled with nostalgic happiness, transforms into something much more sinister, as the daylight begins to fade. And as the sunset casts a shadow on the neighborhood, it provides and ideal backdrop for he who roams it's alleys.",2015,42,"x10_20","The movie is ""The Grayhaven Maniac"" filmed in 2015. This is the IMDb summary: What begins as a night filled with nostalgic happiness, transforms into something much more sinister, as the daylight begins to fade. And as the sunset casts a shadow on the neighborhood, it provides and ideal backdrop for he who roams it's alleys.","slasher","home invasion","phobia","human","human","unknown","male","18-30","30-50","present","small town"
"49","The House on Sorority Row","Maryland",6.1,FALSE,"After a seemingly innocent prank goes horribly wrong, a group of sorority sisters are stalked and murdered one by one in their sorority house while throwing a party to celebrate their graduation.",1983,32,"x80_90","The movie is ""The House on Sorority Row"" filmed in 1983. This is the IMDb summary: After a seemingly innocent prank goes horribly wrong, a group of sorority sisters are stalked and murdered one by one in their sorority house while throwing a party to celebrate their graduation.","slasher","home invasion","phobia","human","human","female","unknown","18-30","unknown","present","house"
"50","The Institute","Maryland",4.1,FALSE,"Subjected to bizarre, increasingly violent pseudo-scientific experiments in personality modification, brainwashing and mind control, Isabel must escape the clutches of the Rosewood Institute and exact her revenge, or else be forever lost.",2017,33,"x10_20","The movie is ""The Institute"" filmed in 2017. This is the IMDb summary: Subjected to bizarre, increasingly violent pseudo-scientific experiments in personality modification, brainwashing and mind control, Isabel must escape the clutches of the Rosewood Institute and exact her revenge, or else be forever lost.","madness","torture","phobia","human","human","female","unknown","18-30","30-50","past","house"
"51","The Invasion","Maryland",5.9,TRUE,"As a Washington, D.C. psychiatrist unearths the origin of an alien epidemic, she also discovers her son might be the only way it can be stopped.",2007,26,"x00_10","The movie is ""The Invasion"" filmed in 2007. This is the IMDb summary: As a Washington, D.C. psychiatrist unearths the origin of an alien epidemic, she also discovers her son might be the only way it can be stopped.","virus","sci-fi and aliens","phobia","human","non-human entity","female","androgynous","30-50","unknown","present","big city"
"52","The Jester","Maryland",3.9,FALSE,"A malevolent being known as The Jester terrorizes the inhabitants of a small town on Halloween night, including two estranged sisters who must come together to find a way to defeat this evil entity.",2023,34,"over_20","The movie is ""The Jester"" filmed in 2023. This is the IMDb summary: A malevolent being known as The Jester terrorizes the inhabitants of a small town on Halloween night, including two estranged sisters who must come together to find a way to defeat this evil entity.","slasher","classic and mythological","phobia","human","non-human entity","female","androgynous","18-30","unknown","present","small town"
"53","The Night Watchmen","Maryland",5.4,FALSE,"Three inept night watchmen, aided by a young rookie and a fearless tabloid journalist, fight an epic battle for their lives against a horde of hungry vampires.",2017,27,"x10_20","The movie is ""The Night Watchmen"" filmed in 2017. This is the IMDb summary: Three inept night watchmen, aided by a young rookie and a fearless tabloid journalist, fight an epic battle for their lives against a horde of hungry vampires.","vampire","horror comedy","splatter","human","non-human entity","male","androgynous","30-50","unknown","present","house"
"54","The Raven","Maryland",6.4,FALSE,"When a madman begins committing horrific murders inspired by Edgar Allan Poe's works, a young Baltimore detective joins forces with Poe to stop him from making his stories a reality.",2012,30,"x10_20","The movie is ""The Raven"" filmed in 2012. This is the IMDb summary: When a madman begins committing horrific murders inspired by Edgar Allan Poe's works, a young Baltimore detective joins forces with Poe to stop him from making his stories a reality.","slasher","madness","classic and mythological","human","human","male","male","30-50","30-50","past","big city"
